customer_unique_id,customer_city,customer_state,total_orders,total_spent,avg_order_value,first_order_date,last_order_date,customer_lifespan_days
da122df9eeddfedc1dc1f5349a1a690c,araruama,RJ,2,7571.63,3785.82,"2017-04-01 15:58:40","2017-04-01 15:58:41",0
c8460e4251689ba205045f3ea17884a1,"porto alegre",RS,4,4655.91,1163.98,"2018-08-07 09:03:02","2018-08-08 14:27:15",1
59d66d72939bc9497e19d89c61a96d5f,"sao paulo",SP,2,3559.99,1780.00,"2017-03-02 12:13:18","2017-08-10 22:09:50",161
eae0a83d752b1dd32697e0e7b4221656,"cicero dantas",BA,2,2783.01,1391.51,"2018-02-01 18:32:02","2018-04-24 17:06:54",82
d77aa95864ae5b42160937615628723a,"riachao do jacuipe",BA,2,2450.10,1225.05,"2017-08-29 22:35:42","2017-08-29 22:38:40",0
86df00dc5fd68f4dd5d5945ca19f3ed6,"porto alegre",RS,3,2400.48,800.16,"2017-06-08 10:49:42","2017-10-13 16:10:18",127
7b0eaf68a16e4808e5388c67345033c9,"ferraz de vasconcelos",SP,2,2340.08,1170.04,"2018-05-19 11:16:55","2018-05-19 11:30:35",0
6ddbc64bd04d40f7768ff088d94cbeb8,campinas,SP,2,2299.66,1149.83,"2018-04-09 22:58:05","2018-04-09 22:58:05",0
1da09dd64e235e7c2f29a4faff33535c,niteroi,RJ,3,2164.40,721.47,"2017-05-10 14:04:15","2018-01-11 11:16:49",246
73601b1eec55943e90ce8d61253d5c09,"belo horizonte",MG,2,2068.68,1034.34,"2017-09-26 17:29:19","2017-11-01 13:39:49",36
906a8a4ec9f3d4c3e64fa6d1c4fe6009,"sao jose do rio preto",SP,2,2020.86,1010.43,"2018-07-05 00:58:05","2018-07-20 04:05:49",15
0341bbd5c969923a0f801b9e2d10a7b8,petropolis,RJ,2,1999.68,999.84,"2018-05-28 14:18:26","2018-05-30 13:00:03",2
cef29e793e232d30250331804cdb7000,"belo horizonte",MG,3,1906.68,635.56,"2017-03-09 18:15:38","2018-01-18 19:59:07",315
798c34ffa9047399853eab8ca7c0b9a0,lavras,MG,2,1812.19,906.10,"2017-12-04 22:02:12","2017-12-04 22:28:27",0
525cda9909aa001ebed396f6e55eae01,timbo,SC,2,1782.90,891.45,"2018-07-13 12:21:43","2018-08-07 21:57:02",25
4facc2e6fbc2bffab2fea92d2b4aa7e4,"porto alegre",RS,4,1760.75,440.19,"2017-06-18 23:14:46","2018-08-13 22:51:49",421
397b44d5bb99eabf54ea9c2b41ebb905,niteroi,RJ,4,1756.53,351.31,"2018-01-11 12:16:24","2018-06-17 19:21:01",157
a1044dd75b74fbc485b040575a14acf0,"cerqueira cesar",SP,2,1737.88,868.94,"2017-12-12 18:19:22","2017-12-20 23:22:55",8
5a494c648fde2d1ec4eb614274ea7159,irece,BA,2,1703.38,851.69,"2018-03-08 19:06:05","2018-03-08 19:06:08",0
c169c9937db997a267f749cdd64c161f,curitiba,PR,2,1675.68,837.84,"2017-05-09 14:33:43","2017-05-09 14:41:10",0
87c9e7ba960e4c2e6bd786b162adc639,maceio,AL,2,1653.98,826.99,"2018-05-10 11:26:25","2018-05-13 16:41:07",3
fe81bb32c243a86b2f86fbf053fe6140,"sao paulo",SP,5,1590.76,318.15,"2017-10-22 11:29:22","2018-06-21 12:10:25",242
fc24db02becd484accefaa5af59c18b1,sorocaba,SP,2,1588.95,794.48,"2018-06-04 23:21:42","2018-06-25 11:15:35",21
0f5ac8d5c31de21d2f25e24be15bbffb,"uniao da vitoria",PR,2,1544.82,772.41,"2017-11-23 20:30:52","2017-11-27 12:57:35",4
3ec83b54e0afb70def9480cd6b9097f7,"santa barbara d'oeste",SP,2,1544.76,772.38,"2018-02-27 12:21:57","2018-02-27 12:23:58",0
231d36f5c4b238c26f449ffd98c79180,"morro da fumaca",SC,2,1529.26,764.63,"2018-05-03 19:31:30","2018-05-08 09:53:12",5
012a218df8995d3ec3bb221828360c86,"pirapora do bom jesus",SP,2,1510.38,503.46,"2018-05-07 10:28:17","2018-06-18 13:08:38",42
b248c92ec54199bedb1d603e0e6f98c6,botucatu,SP,2,1483.26,741.63,"2017-11-24 06:29:43","2018-02-21 00:55:03",89
4711348768db55c57a67aba080ead566,vitoria,ES,2,1478.20,739.10,"2018-05-16 18:26:55","2018-06-07 20:45:20",22
da1e7179b9c5a1494d78528cbcf05aa0,chapeco,SC,2,1467.87,733.94,"2017-05-19 14:12:50","2017-11-09 11:20:34",174
297ec5afd18366f5ba27520cc4954151,"sao paulo",SP,3,1451.00,483.67,"2018-02-16 13:30:10","2018-05-12 21:23:13",85
fd03997c82649affc061d275ddf1f3d9,serra,ES,2,1447.02,723.51,"2018-01-17 14:35:51","2018-01-17 14:35:51",0
6e26bbeaa107ec34112c64e1ee31c0f5,"rio de janeiro",RJ,2,1441.62,720.81,"2017-07-04 21:57:51","2018-01-02 19:00:43",182
eaa604ab9f816252edb7a8d297f932e5,"governador valadares",MG,2,1432.21,477.40,"2017-11-07 21:46:04","2017-12-02 06:32:02",25
f0daba1cfcc18d5a3229e1a911313e3e,"rio de janeiro",RJ,2,1398.18,699.09,"2017-04-24 20:41:52","2017-05-11 17:30:39",17
1f98d2384ff7a372e6a2d3bb75cbcd54,"sao joao nepomuceno",MG,2,1381.41,690.71,"2018-05-30 09:46:25","2018-06-01 08:21:03",2
a56df37f1251ec47d5ad53dab3043f38,"armacao dos buzios",RJ,2,1321.63,660.82,"2018-06-02 22:36:30","2018-06-20 21:40:31",18
21bde4e982c4681021edabb899bcebfe,"patos de minas",MG,2,1304.36,652.18,"2017-11-25 13:47:05","2017-12-17 18:44:55",22
12ab9334b1240d6d037f2b0102a49571,uberaba,MG,2,1297.47,648.74,"2017-12-13 17:35:26","2017-12-13 17:35:27",0
4e1cce07cd5937c69dacac3c8b13d965,mococa,SP,3,1294.60,431.53,"2017-11-25 15:48:03","2018-07-30 16:04:45",247
ecdbc4bf2201c807294c7d8c4b777032,indaiatuba,SP,2,1294.09,647.05,"2017-04-02 12:02:52","2017-10-17 16:34:11",198
d387ea85dc301a91740e31360d355686,"sao joao da boa vista",SP,3,1290.88,430.29,"2018-01-23 10:24:15","2018-05-28 16:08:37",125
d132b863416f85f2abb1a988ca05dd12,"santo andre",SP,3,1276.52,425.51,"2017-08-14 13:42:08","2018-07-21 19:57:05",341
dff33bfc45ae0becc55ce9b50acd4073,manaus,AM,2,1275.77,637.89,"2017-09-20 11:21:14","2018-02-19 16:49:20",152
5457ae2c352c18e3bf5cba68301d96a8,"americo brasiliense",SP,2,1274.03,637.02,"2018-02-28 02:46:13","2018-07-26 16:11:51",148
33176de67c05eeed870fd49f234387a0,cachoeirinha,RS,3,1254.01,418.00,"2018-02-22 09:03:57","2018-06-04 17:03:57",102
cbd08b04b3f301152b7570da5e9c8cc4,curitiba,PR,3,1249.87,416.62,"2017-09-13 12:37:57","2017-09-16 20:27:30",3
b045295488236fa73d8d9c37dc4b03e7,teresina,PI,2,1247.13,623.57,"2017-05-30 12:05:05","2017-09-13 10:35:15",106
ca6d9bc2e717c2a0aa19d77a3bfa5398,"rio de janeiro",RJ,2,1237.39,618.70,"2017-04-19 16:01:21","2017-07-06 20:19:20",78
d5419994a02a55d4b7cd00e77fabdbae,ipero,SP,2,1229.43,409.81,"2017-11-03 21:09:53","2017-12-06 19:32:40",33
e271fa40aa8fea4e0f304b3768b65d6a,"sao paulo",SP,2,1225.08,612.54,"2018-04-29 23:57:11","2018-05-09 19:23:46",10
4644f1b187e390a08b4c66fb16c91364,"jaragua do sul",SC,2,1219.32,609.66,"2018-03-16 11:03:07","2018-03-16 11:19:46",0
0aadc1d26d1c8b88a52c39a533ccea93,salvador,BA,2,1218.70,406.23,"2017-04-11 10:52:50","2017-11-28 10:27:09",231
a5afb1cd8d3b8126d2d39a7a29880c09,"trindade do sul",RS,2,1215.15,607.58,"2018-05-30 18:01:22","2018-06-27 09:46:09",28
3442a61b2d5bfd9d605d6943701ad650,campinas,SP,2,1214.78,607.39,"2018-03-11 19:07:43","2018-03-26 07:03:11",15
6bb535b0906b43e0041916897667aeed,garopaba,SC,3,1195.23,398.41,"2017-06-08 22:46:23","2017-09-17 18:12:09",101
4c4b5dc90eb4e33188153ca3e7999f92,carapicuiba,SP,2,1189.34,594.67,"2018-04-06 16:47:38","2018-04-08 13:05:01",2
e246473a236ca29747182e7986dbdb7a,guarulhos,SP,2,1186.58,593.29,"2017-09-18 15:10:32","2018-01-30 15:18:07",134
d2ecc28fac1b377eefe7b209a895626a,"rio de janeiro",RJ,2,1183.46,591.73,"2017-11-24 12:27:36","2017-12-04 18:52:48",10
3e43e6105506432c953e165fb2acf44c,"praia grande",SP,9,1172.66,130.30,"2017-09-18 18:53:15","2018-02-27 18:36:39",162
3b97119ab53db4ae0144dff13c2ee26b,apiuna,SC,2,1170.78,585.39,"2018-04-28 17:05:06","2018-06-06 08:06:18",39
8bb910cd8c3b29e4acf2e94e3aaffbbf,cuiaba,MT,2,1131.08,565.54,"2017-11-30 20:04:59","2017-12-08 16:55:10",8
ca77025e7201e3b30c44b472ff346268,recife,PE,7,1122.72,160.39,"2017-10-09 12:34:39","2018-06-01 11:38:29",235
5e8f38a9a1c023f3db718edcf926a2db,"feira de santana",BA,5,1114.18,222.84,"2017-08-21 10:20:23","2018-03-06 14:40:32",197
54982b0c374191195d5f433c7cccae90,vazante,MG,2,1098.34,549.17,"2018-07-18 16:51:01","2018-08-06 21:19:27",19
dc813062e0fc23409cd255f7f53c7074,garanhuns,PE,6,1094.63,182.44,"2017-07-01 04:22:21","2018-08-23 00:07:26",418
c143eafe10719dcc7dc0a855b2e3554d,"rio de janeiro",RJ,2,1078.16,539.08,"2017-10-24 18:07:14","2018-02-21 17:35:00",120
81865792a5df52436b4e759b4ba21412,"rio de janeiro",RJ,2,1069.77,534.89,"2017-07-18 10:39:16","2017-07-18 11:11:07",0
08e5b38d7948d37fbb2a59fc5e175ab1,"joao pessoa",PB,4,1056.33,264.08,"2018-03-03 02:21:56","2018-05-10 03:38:27",68
19bedfc18c92d4e7eb6ba318a6c2033c,"rio de janeiro",RJ,2,1056.20,528.10,"2017-11-03 00:44:46","2018-04-07 00:42:45",155
345759b8cb3d30586551de1ca6905df0,aracaju,SE,2,1056.12,528.06,"2017-07-20 14:56:52","2018-07-03 18:36:57",348
c9f3502cccf5585cea25aa7de58f6cb5,"sao paulo",SP,2,1050.00,525.00,"2017-10-05 14:17:04","2018-05-03 16:16:41",210
68497ce04e9b12cb402671a29acdf6a2,xaxim,SC,2,1047.15,523.58,"2017-11-25 20:12:05","2018-05-10 20:00:57",166
d97b3cfb22b0d6b25ac9ed4e9c2d481b,"sao paulo",SP,2,1044.13,522.07,"2017-10-17 13:06:29","2017-10-17 13:06:30",0
2fe074ea3cc24b8fd57d29effc995f8b,"sao paulo",SP,2,1043.06,521.53,"2017-04-15 14:40:01","2017-12-01 07:15:07",230
8a1e8b556fd5feb59a63729b5341e71a,"lagoa grande",PE,2,1036.07,518.04,"2018-07-21 04:59:38","2018-07-23 19:36:17",2
bf1dd33f93c58ea45d677d7e871e098e,"sao paulo",SP,2,1035.97,517.99,"2018-04-11 23:00:19","2018-06-07 13:28:00",57
c0536ee7a009264e0f1bf1c8f4c54ad3,"ribeirao preto",SP,2,1029.36,514.68,"2017-11-24 12:58:53","2017-11-24 12:58:54",0
ae53a87a257f8e54795af6ff434e443b,camamu,BA,2,1019.41,509.71,"2017-09-14 10:12:04","2017-09-14 10:12:04",0
070acf4df1234a6257809e4e79644481,"teofilo otoni",MG,2,1011.02,505.51,"2017-10-26 14:42:55","2018-07-18 07:41:58",265
98758d88bf4b8eef1372ddee45d63178,"campo alegre",AL,2,997.96,498.98,"2017-04-06 22:16:10","2017-09-17 06:44:58",164
4e6588068c000d6f539cf24c66a96816,brasilia,DF,2,990.50,495.25,"2018-02-19 09:23:33","2018-02-19 09:23:33",0
456f6d64ecda1b968375d3a68eabfb5c,"embu das artes",SP,2,989.59,494.80,"2018-03-10 14:31:09","2018-07-10 14:37:30",122
c7fb8ec1ea35af7e89f989b6e17e2bd8,"sao paulo",SP,2,972.97,486.49,"2017-11-03 18:34:16","2017-11-04 16:29:23",1
cb4f48aa5b4657435b012a65f2a122eb,"santa barbara",MG,2,963.25,481.63,"2017-08-20 16:09:44","2018-02-17 14:07:46",181
1b6c7548a2a1f9037c1fd3ddfed95f33,ituiutaba,MG,7,959.01,119.88,"2017-11-13 16:44:41","2018-02-14 13:22:12",93
423d40b193638955a782839886648464,"juiz de fora",MG,2,958.13,479.07,"2017-04-22 21:39:15","2018-08-07 23:19:34",472
839a04051a2c347397fd425d01fc3eb2,"foz do iguacu",PR,2,945.95,472.98,"2018-08-06 09:09:46","2018-08-09 10:24:12",3
d27295915d486516b99c3aed8628e83b,"rio de janeiro",RJ,2,944.57,472.29,"2017-05-25 17:10:19","2018-04-16 10:31:20",326
47c1a3033b8b77b3ab6e109eb4d5fdf3,jandira,SP,6,944.21,157.37,"2017-08-07 14:14:22","2018-01-24 15:15:26",170
62b8761192c86f4ead06f4a433096a2b,navegantes,SC,2,939.61,469.81,"2018-05-07 09:01:58","2018-07-04 12:04:21",58
31bfa97f1ea0663a50ebc5c811ebdf4d,diadema,SP,2,937.36,468.68,"2017-10-10 16:06:13","2017-11-02 19:29:31",23
f93ea08ded32a5b926f9dd98c1dbd61d,orlandia,SP,2,934.66,467.33,"2017-05-27 19:51:58","2017-05-27 19:51:59",0
9146de9c43fa373c4ce8af26c8db8336,"sao carlos",SP,2,931.19,465.60,"2017-08-23 10:59:44","2017-08-23 10:59:45",0
0895c61a77b305efdfad13596c749c60,campinas,SP,2,923.40,307.80,"2017-12-01 14:35:06","2018-04-11 11:59:18",131
51378a8908cdc12c6545fdf842383c97,"sao paulo",SP,2,922.19,461.10,"2017-03-05 12:34:06","2017-03-17 18:15:27",12
b8b3c435a58aebd788a477bed8342910,"arroio do sal",RS,3,919.34,306.45,"2017-05-05 08:45:28","2017-08-24 10:29:36",111
f34cd7fd85a1f8baff886edf09567be3,timbo,SC,3,916.09,305.36,"2017-08-22 12:49:28","2017-08-22 12:49:29",0
66f4eec9da64df09009a7f397c2a32b1,"sao paulo",SP,2,914.15,228.54,"2018-01-24 12:33:57","2018-01-24 12:33:58",0
efce1ab3e96ccab8b1b464326bd22417,"sao paulo",SP,2,904.72,452.36,"2017-08-07 14:29:45","2018-03-27 14:29:03",232
37545efd489b0b7c9aa20690f344271d,extrema,RO,2,897.68,448.84,"2017-09-18 00:28:51","2017-09-18 00:28:52",0
ac95cdab584cac0e86ce97a5399ecf79,paracatu,MG,2,886.12,443.06,"2018-01-19 23:57:19","2018-04-08 12:39:48",79
4754e3b66497719a91b36268ed9c5718,tapiratiba,SP,2,881.11,440.56,"2017-12-08 09:42:43","2017-12-08 09:42:44",0
45ca4053806ecd0f595c633184e0ff61,sorocaba,SP,2,879.86,439.93,"2017-06-26 17:43:29","2018-04-18 21:22:49",296
8d50f5eadf50201ccdcedfb9e2ac8455,"sao paulo",SP,15,879.27,58.62,"2017-06-18 22:56:48","2018-08-20 19:14:26",428
e1407f4d2fd92ed069307bb0b836615a,balsas,MA,2,873.09,436.55,"2018-03-13 06:48:39","2018-03-13 06:48:40",0
8b160faff469868625c7c82cbd310636,cotia,SP,2,871.53,435.77,"2017-07-13 00:19:43","2017-07-13 00:19:44",0
8901b2526349d372dd0bdf8d77af656d,dourados,MS,2,867.90,433.95,"2018-01-04 22:57:13","2018-01-04 22:57:14",0
4c0bac678bfb8ff0becd5b393b45a884,"belo horizonte",MG,2,866.20,433.10,"2018-01-05 14:56:40","2018-01-05 14:56:40",0
dd8253fe17486f2e2cbff105e36e4a55,jau,SP,2,865.97,432.99,"2017-12-23 08:51:29","2018-01-15 09:33:37",23
b47715fad5cbc17bfb21e9ab646fdfb2,balsamo,SP,2,863.84,431.92,"2018-01-04 18:30:19","2018-01-12 16:54:45",8
71df425cb9aec3337bc969df451d663a,"porto alegre",RS,2,861.81,430.91,"2017-09-21 21:32:08","2017-09-29 16:22:26",8
4577881f7a6c10d8eb6bd7f7a82ffa86,"sao paulo",SP,2,858.17,429.09,"2017-08-02 16:45:46","2018-07-19 17:22:40",351
12d8b5ed661190a3a08183644dfc504d,montanha,ES,4,857.95,214.49,"2017-03-26 18:25:32","2018-05-02 11:58:28",402
5d2dfd15300a557c1ddfad56a8460226,brasilia,DF,2,856.77,428.39,"2018-03-01 11:48:05","2018-03-16 15:48:47",15
09d7c538023c2c4fb0553c831c12f084,sorocaba,SP,2,846.12,423.06,"2017-05-22 19:49:12","2017-05-22 19:49:13",0
6419a1be8feac26ec793667b71cbaeb4,petropolis,RJ,3,841.98,280.66,"2017-06-04 23:49:13","2017-12-26 14:57:27",205
e30b83af13d6ff0b0f427b2a67c43b39,"pocos de caldas",MG,3,841.15,280.38,"2017-01-19 14:38:27","2017-11-28 10:44:35",313
0cc2ee1112a11a1094eff52fa2e87150,teresina,PI,3,839.62,279.87,"2017-05-15 09:00:01","2017-10-03 11:54:16",141
71f88e06eb78302859a034cd7d1877a1,"pato branco",PR,2,826.38,413.19,"2018-04-20 19:57:54","2018-05-14 12:34:50",24
63cfc61cee11cbe306bff5857d00bfe4,"rio de janeiro",RJ,6,826.32,137.72,"2017-05-11 14:39:53","2018-05-28 17:20:02",382
