cohort_month,month_0,month_1,month_2,month_3,month_6,retention_month_1_pct
2016-09,1,0,0,0,0,0.00
2016-10,262,0,0,0,1,0.00
2016-12,1,1,0,0,0,100.00
2017-01,717,2,2,1,3,0.28
2017-02,1628,3,5,2,4,0.18
2017-03,2503,11,9,10,4,0.44
2017-04,2256,14,5,4,8,0.62
2017-05,3451,16,16,10,14,0.46
2017-06,3037,15,12,13,11,0.49
2017-07,3752,20,13,9,12,0.53
2017-08,4057,28,14,11,12,0.69
2017-09,4004,28,22,11,9,0.70
2017-10,4328,31,11,4,9,0.72
2017-11,7060,40,26,12,8,0.57
2017-12,5338,11,15,18,9,0.21
2018-01,6842,23,25,20,12,0.34
2018-02,6288,22,25,19,13,0.35
2018-03,6774,27,20,20,0,0.40
2018-04,6582,39,20,16,0,0.59
2018-05,6506,34,17,12,0,0.52
2018-06,5878,25,16,0,0,0.43
2018-07,5949,31,0,0,0,0.52
2018-08,6144,0,0,0,0,0.00
